Customer_ID,Customer_Name,Age,Gender,City,State,Customer_Since,Customer_Segment,KYC_Status,Home_Device_ID_1,Home_Device_ID_2,Baseline_Avg_Amount
CUST00001,Aditya Singh,25,Male,Bhopal,Madhya Pradesh,2021-01-31,Mass Market,Verified,DEV00001A,DEV00001B,1981.34
CUST00002,Rahul More,50,Male,Delhi,Delhi,2024-04-17,Mass Market,Verified,DEV00002A,DEV00002B,940.88
CUST00003,Pooja Das,35,Male,Bengaluru,Karnataka,2020-05-31,Business,Verified,DEV00003A,DEV00003B,41899.39
CUST00004,Nikhil Verma,42,Male,Nashik,Maharashtra,2024-03-11,Mass Market,Verified,DEV00004A,DEV00004B,1223.27
CUST00005,Aditya Chavan,32,Male,Vadodara,Gujarat,2022-04-06,Mass Market,Verified,DEV00005A,DEV00005B,1240.36
CUST00006,Vivaan Gupta,28,Male,Bhopal,Madhya Pradesh,2019-11-01,Affluent,Verified,DEV00006A,DEV00006B,2927.5
CUST00007,Pooja Deshmukh,20,Female,Coimbatore,Tamil Nadu,2022-07-02,Mass Market,Verified,DEV00007A,DEV00007B,2252.74
CUST00008,Isha Verma,26,Male,Gurugram,Haryana,2024-04-18,Affluent,Verified,DEV00008A,DEV00008B,3852.98
CUST00009,Riya Patil,21,Male,Thiruvananthapuram,Kerala,2019-09-19,Affluent,Verified,DEV00009A,DEV00009B,3980.53
CUST00010,Sahil Iyer,64,Male,Patna,Bihar,2025-08-24,Student,Verified,DEV00010A,DEV00010B,572.73
CUST00011,Kavya Patil,29,Male,Thiruvananthapuram,Kerala,2025-01-05,Mass Market,Verified,DEV00011A,DEV00011B,805.68
CUST00012,Aditya Verma,38,Female,Indore,Madhya Pradesh,2018-03-21,Mass Market,Verified,DEV00012A,DEV00012B,2113.55
CUST00013,Vivek Das,49,Male,Kochi,Kerala,2023-12-22,Premium,Verified,DEV00013A,DEV00013B,22448.66
CUST00014,Neha Patil,64,Male,Thiruvananthapuram,Kerala,2025-12-30,Mass Market,Expired,DEV00014A,DEV00014B,1376.2
CUST00015,Kunal Shah,53,Male,Lucknow,Uttar Pradesh,2024-08-07,Mass Market,Verified,DEV00015A,DEV00015B,957.88
CUST00016,Arjun More,49,Male,Patna,Bihar,2024-01-18,Mass Market,Pending,DEV00016A,DEV00016B,1445.34
CUST00017,Arjun Gupta,45,Female,Mysuru,Karnataka,2023-03-28,Student,Verified,DEV00017A,DEV00017B,509.4
CUST00018,Vivaan Das,30,Female,Thane,Maharashtra,2019-07-29,Affluent,Verified,DEV00018A,DEV00018B,4380.35
CUST00019,Sahil Reddy,18,Male,Coimbatore,Tamil Nadu,2020-08-26,Mass Market,Verified,DEV00019A,DEV00019B,1302.08
CUST00020,Isha Iyer,45,Female,Noida,Uttar Pradesh,2019-09-27,Mass Market,Verified,DEV00020A,DEV00020B,1971.47
CUST00021,Aditi Gupta,51,Male,Ranchi,Jharkhand,2018-08-21,Business,Verified,DEV00021A,DEV00021B,13035.24
CUST00022,Sahil Pawar,56,Male,Lucknow,Uttar Pradesh,2024-12-11,Mass Market,Verified,DEV00022A,DEV00022B,1132.74
CUST00023,Vivek Iyer,60,Female,Aurangabad,Maharashtra,2023-02-16,Mass Market,Verified,DEV00023A,DEV00023B,1416.57
CUST00024,Kavya Patil,26,Female,Gurugram,Haryana,2018-10-09,Student,Verified,DEV00024A,DEV00024B,236.76
CUST00025,Vivek Mishra,53,Female,Patna,Bihar,2025-06-10,Mass Market,Verified,DEV00025A,DEV00025B,2279.43
CUST00026,Rohan Shah,61,Female,Thane,Maharashtra,2023-09-02,Affluent,Pending,DEV00026A,DEV00026B,4253.24
CUST00027,Priya Yadav,65,Female,Navi Mumbai,Maharashtra,2024-03-09,Premium,Verified,DEV00027A,DEV00027B,7981.09
CUST00028,Arjun Kadam,27,Female,Jaipur,Rajasthan,2019-06-07,Mass Market,Verified,DEV00028A,DEV00028B,2444.39
CUST00029,Rahul Mishra,53,Female,Thiruvananthapuram,Kerala,2024-12-17,Premium,Pending,DEV00029A,DEV00029B,8541.05
CUST00030,Priya Jadhav,44,Male,Chandigarh,Chandigarh,2020-12-28,Mass Market,Verified,DEV00030A,DEV00030B,577.45
CUST00031,Riya Mishra,32,Male,Coimbatore,Tamil Nadu,2018-04-07,Premium,Verified,DEV00031A,DEV00031B,12022.92
CUST00032,Kavya Joshi,25,Female,Mumbai,Maharashtra,2020-01-02,Affluent,Expired,DEV00032A,DEV00032B,3746.97
CUST00033,Vivek Kadam,54,Male,Hyderabad,Telangana,2020-11-09,Mass Market,Verified,DEV00033A,DEV00033B,2113.02
CUST00034,Nikhil Das,22,Female,Chennai,Tamil Nadu,2024-12-27,Mass Market,Verified,DEV00034A,DEV00034B,1100.64
CUST00035,Nikhil Singh,30,Female,Aurangabad,Maharashtra,2025-06-16,Business,Verified,DEV00035A,DEV00035B,8017.05
CUST00036,Nikhil Iyer,55,Female,Chennai,Tamil Nadu,2023-03-20,Affluent,Verified,DEV00036A,DEV00036B,7738.91
CUST00037,Isha Chavan,58,Female,Patna,Bihar,2019-01-18,Student,Verified,DEV00037A,DEV00037B,520.04
CUST00038,Arjun More,22,Female,Vadodara,Gujarat,2022-08-25,Student,Verified,DEV00038A,DEV00038B,545.09
CUST00039,Neha Reddy,29,Female,Delhi,Delhi,2018-07-25,Affluent,Pending,DEV00039A,DEV00039B,4520.18
CUST00040,Kavya Nair,64,Female,Indore,Madhya Pradesh,2024-02-23,Affluent,Verified,DEV00040A,DEV00040B,6386.55
CUST00041,Rohan Singh,33,Female,Bhopal,Madhya Pradesh,2022-12-07,Mass Market,Verified,DEV00041A,DEV00041B,1139.42
CUST00042,Aditi Pawar,44,Female,Nagpur,Maharashtra,2021-09-17,Affluent,Verified,DEV00042A,DEV00042B,7381.45
CUST00043,Kunal Nair,18,Female,Ahmedabad,Gujarat,2021-05-08,Premium,Verified,DEV00043A,DEV00043B,15922.65
CUST00044,Meera Das,35,Female,Delhi,Delhi,2023-06-13,Mass Market,Verified,DEV00044A,DEV00044B,1308.63
CUST00045,Sneha Shah,43,Male,Mumbai,Maharashtra,2018-12-10,Affluent,Verified,DEV00045A,DEV00045B,3964.18
CUST00046,Vivaan Patil,44,Female,Thiruvananthapuram,Kerala,2018-12-02,Affluent,Verified,DEV00046A,DEV00046B,2957.44
CUST00047,Rahul Chavan,30,Male,Delhi,Delhi,2024-12-19,Mass Market,Verified,DEV00047A,DEV00047B,1627.94
CUST00048,Vivek Verma,65,Male,Indore,Madhya Pradesh,2019-11-02,Business,Verified,DEV00048A,DEV00048B,24659.49
CUST00049,Riya More,62,Male,Lucknow,Uttar Pradesh,2019-02-22,Premium,Verified,DEV00049A,DEV00049B,16318.65
CUST00050,Pooja Deshmukh,41,Male,Patna,Bihar,2023-09-04,Affluent,Verified,DEV00050A,DEV00050B,4317.9
CUST00051,Aditya Shah,29,Female,Chennai,Tamil Nadu,2024-11-27,Student,Verified,DEV00051A,DEV00051B,415.92
CUST00052,Sahil Mishra,46,Male,Visakhapatnam,Andhra Pradesh,2023-03-19,Affluent,Verified,DEV00052A,DEV00052B,3612.59
CUST00053,Isha Reddy,56,Female,Gurugram,Haryana,2024-03-26,Mass Market,Pending,DEV00053A,DEV00053B,1940.15
CUST00054,Riya Mishra,19,Male,Chandigarh,Chandigarh,2021-04-20,Mass Market,Verified,DEV00054A,DEV00054B,1663.11
CUST00055,Vivek Singh,62,Female,Mysuru,Karnataka,2021-01-14,Mass Market,Verified,DEV00055A,DEV00055B,1131.1
CUST00056,Aarav Das,48,Female,Kochi,Kerala,2024-08-11,Business,Verified,DEV00056A,DEV00056B,15536.54
CUST00057,Isha Nair,35,Male,Aurangabad,Maharashtra,2018-08-12,Affluent,Verified,DEV00057A,DEV00057B,4690.71
CUST00058,Rohan Deshmukh,39,Male,Kolkata,West Bengal,2018-07-30,Mass Market,Verified,DEV00058A,DEV00058B,630.69
CUST00059,Pooja Reddy,54,Female,Chandigarh,Chandigarh,2018-12-15,Business,Verified,DEV00059A,DEV00059B,29948.05
CUST00060,Aditya Kulkarni,55,Female,Noida,Uttar Pradesh,2021-06-04,Affluent,Verified,DEV00060A,DEV00060B,6457.79
CUST00061,Pooja Verma,29,Male,Delhi,Delhi,2019-10-04,Mass Market,Verified,DEV00061A,DEV00061B,1082.52
CUST00062,Rohan Verma,32,Female,Patna,Bihar,2025-01-04,Affluent,Verified,DEV00062A,DEV00062B,2961.26
CUST00063,Kavya Das,28,Female,Pune,Maharashtra,2024-09-03,Premium,Verified,DEV00063A,DEV00063B,18994.67
CUST00064,Aditi Yadav,46,Male,Ahmedabad,Gujarat,2024-09-15,Mass Market,Verified,DEV00064A,DEV00064B,1000.74
CUST00065,Isha Verma,61,Female,Mumbai,Maharashtra,2024-06-18,Mass Market,Verified,DEV00065A,DEV00065B,1803.02
CUST00066,Riya Sharma,40,Female,Ahmedabad,Gujarat,2021-09-27,Mass Market,Verified,DEV00066A,DEV00066B,1323.29
CUST00067,Ananya Sharma,23,Female,Kolkata,West Bengal,2020-10-30,Mass Market,Expired,DEV00067A,DEV00067B,1529.19
CUST00068,Isha Joshi,51,Female,Thane,Maharashtra,2024-12-25,Premium,Verified,DEV00068A,DEV00068B,23553.46
CUST00069,Arjun Deshmukh,58,Male,Mumbai,Maharashtra,2025-12-17,Mass Market,Verified,DEV00069A,DEV00069B,686.42
CUST00070,Meera Iyer,63,Female,Ahmedabad,Gujarat,2023-09-16,Premium,Verified,DEV00070A,DEV00070B,7892.84
